Unnamed: 0,América,Unnamed: 2,Unnamed: 3,Atlético,Unnamed: 5,Unnamed: 6,Athletico,Unnamed: 8,Unnamed: 9,Bahia,Unnamed: 11,Unnamed: 12,Botafogo,Unnamed: 14,Unnamed: 15,Corinthians,Unnamed: 17,Unnamed: 18,Coritiba,Unnamed: 20,Unnamed: 21,Cruzeiro,Unnamed: 23,Unnamed: 24,Cuiabá,Unnamed: 26,Unnamed: 27,Flamengo,Unnamed: 29,Unnamed: 30,Fluminense,Unnamed: 32,Unnamed: 33,Fortaleza,Unnamed: 35,Unnamed: 36,Grêmio,Unnamed: 38,Unnamed: 39,Goiás,Unnamed: 41,Unnamed: 42,Internacional,Unnamed: 44,Unnamed: 45,Palmeiras,Unnamed: 47,Unnamed: 48,Santos,Unnamed: 50,Unnamed: 51,São Paulo,Unnamed: 53,Unnamed: 54,Vasco da Gama,Unnamed: 56,Unnamed: 57
Folha do futebol,92.0,61.89000000000001,31.494674868373508,216.0,257.875,196.52677117865068,133.0,183.60700000000003,173.85060527342176,,74.268,117.16019051034945,,,,261.0,282.63100000000003,282.19228682062663,119.1,75.29950000000001,46.61211880519279,,58.795500000000004,265.81505588907237,99.0,86.646,22.676165905228924,463.0,452.8285,410.6905602835905,181.0,134.095,76.84700667883136,114.0,87.67750000000001,86.92530263671088,231.0,119.65400000000001,137.3167824261085,50.0,34.039500000000004,51.65126678413255,196.0,204.23700000000002,239.35952899963866,405.0,376.4975,313.6869616890001,,140.28400000000002,209.12464112600009,266.0,204.23700000000002,207.86485413126513,160.0,69.1105,112.12104253140969
Resultado,-9.0,-21.6615,-21.416378910493986,309.0,73.2365,-59.209988752542195,383.0,49.512,79.36658066830124,,-80.45700000000001,4.787190579992773,,,,121.0,15.472500000000002,-246.91825096804828,50.0,62.9215,-62.989349736747016,,-25.7875,-496.3560759255665,37.0,26.819000000000003,2.1416378910493985,320.0,140.28400000000002,79.36658066830124,78.0,7.2205,-11.338082952614462,66.0,33.008,4.283275782098797,45.0,-99.024,27.715313884168687,124.0,13.409500000000001,3.5274035852578325,170.0,1.0315,-3.779360984204821,8.5,18.567,2.5195739894698805,,17.535500000000003,30.234887873638566,62.0,38.1655,-196.52677117865068,-70.0,-90.772,-6.298934973674701
EBITDA,7.0,3.0945,-11.338082952614462,-212.0,40.228500000000004,157.47337434186753,498.0,89.74050000000001,139.83635641557836,,1.0315,49.13169279466267,,,,248.0,169.16600000000003,-22.676165905228924,60.0,66.016,-13.857656942084343,,150.59900000000002,185.18868822603622,37.0,26.819000000000003,7.558721968409642,485.0,342.0,248.0,129.0,66.016,88.18508963144582,115.0,58.795500000000004,11.338082952614462,155.0,34.039500000000004,199.04634516812055,-0.8,50.85295,47.87190579992773,298.0,117.59100000000001,112.12104253140969,186.0,188.76450000000003,238.0997420049037,,200.11100000000002,256.9965469259278,116.0,235.18200000000002,406.9111992993857,-11.0,24.756,149.9146523734579
Aquisições de atletas,9.0,16.504,1.0078295957879522,148.0,152.662,65.50892372621689,39.0,97.9925,37.793609842048205,,0.0,41.57297082625303,,,,53.0,43.323,13.857656942084343,6.1,7.2205,1.1338082952614463,,0.0,70.54807170515666,0.0,0.0,0.0,273.0,238.27650000000003,314.94674868373505,6.0,27.850500000000004,13.857656942084343,75.0,47.449000000000005,7.054807170515665,24.0,68.07900000000001,61.72956274201207,0.1,1.8567000000000002,6.928828471042172,85.0,90.772,65.50892372621689,150.0,108.3075,137.3167824261085,,63.953,66.76871072095183,77.0,78.394,181.4093272418314,157.0,26.819000000000003,4.283275782098797
Gastos com a Base,12.0,5.157500000000001,1.3857656942084344,24.0,18.567,17.637017926289165,14.0,14.441,27.715313884168687,,13.409500000000001,17.637017926289165,,,,0.0,0.0,0.0,4.8,10.624450000000001,19.904634516812056,,0.0,23.935952899963866,0.0,0.0,0.0,16.0,28.882,40.31318383151809,31.0,20.630000000000003,20.156591915759044,6.0,4.126,2.0156591915759043,26.0,25.7875,28.975100878903625,5.0,4.7449,7.936658066830123,19.0,22.693,27.21139908627471,29.0,30.945000000000004,32.754461863108446,,10.315000000000001,11.338082952614462,34.0,16.504,50.39147978939761,0.0,8.97405,16.377230931554223
Base de Torcedores %,0.5,0.5,0.5,4.3,4.3,4.3,1.5,1.5,1.5,3.6,3.6,3.6,2.0,2.0,2.0,14.2,14.2,14.2,0.1,0.1,0.1,6.1,6.1,6.1,0.1,0.1,0.1,21.9,21.9,21.9,3.4,3.4,3.4,1.2,1.2,1.2,4.6,4.6,4.6,0.2,0.2,0.2,3.5,3.5,3.5,7.7,7.7,7.7,3.1,3.1,3.1,9.9,9.9,9.9,6.2,6.2,6.2
Base de Torcedores,1.0,1.0,1.0,9.5,9.5,9.5,3.3,3.3,3.3,7.9,7.9,7.9,4.4,4.4,4.4,31.2,31.2,31.2,3.3,3.3,3.3,13.4,13.4,13.4,0.2,0.2,0.2,48.1,48.1,48.1,7.5,7.5,7.5,2.6,2.6,2.6,10.1,10.1,10.1,0.4,0.4,0.4,7.7,7.7,7.7,16.9,16.9,16.9,6.8,6.8,6.8,21.8,21.8,21.8,13.6,13.6,13.6
Pontuação Série A,24.0,53.0,0.0,66.0,58.0,48.0,56.0,58.0,64.0,44.0,0.0,49.0,64.0,53.0,43.0,50.0,65.0,56.0,30.0,42.0,0.0,47.0,0.0,36.0,51.0,41.0,0.0,66.0,62.0,90.0,56.0,70.0,46.0,54.0,55.0,53.0,68.0,0.0,65.0,38.0,46.0,52.0,55.0,73.0,57.0,70.0,81.0,74.0,43.0,47.0,74.0,53.0,54.0,63.0,45.0,0.0,49.0
Performance Série A,0.0,0.24369580448359887,0.0,0.9493678621260133,0.3608488067145302,0.15751996908273488,0.8424800309172651,0.41148094458851686,0.47136605318055197,0.5286339468194481,0.0,0.21239034303474383,0.910680994787812,0.21239034303474383,0.11051724646602176,0.6830107460908589,0.544659502606094,0.31698925390914107,0.227670248696953,0.11051724646602176,0.0,0.6391511932854698,0.0,0.06940631839298109,0.7216976134290604,0.08931900521218804,0.0,0.9305936816070189,0.47136605318055197,1.0,0.8668214419824227,0.6391511932854698,0.13317855801757725,0.7876096569652562,0.31698925390914107,0.2783023865709396,0.9671267134323301,0.0,0.544659502606094,0.3608488067145302,0.15751996908273488,0.24369580448359887,0.8161893041084362,0.7723297513030469,0.3608488067145302,0.983974444213354,1.0,0.6391511932854698,0.455340497393906,0.18381069589156382,0.7723297513030469,0.7563041955164012,0.2783023865709396,0.41148094458851686,0.5885190554114832,0.0,0.18381069589156382
Bilheteria Série A (R$ milhões),7.3,2.2693000000000003,0.0,31.2,19.701650000000004,6.172956274201208,18.6,10.5213,10.078295957879522,22.6,0.0,12.345912548402415,24.1,11.03705,13.353742144190367,42.9,47.8616,39.80926903362411,12.0,8.252,0.0,25.6,0.0,9.448402460512051,14.9,12.0,0.0,69.6,49.20255000000001,67.3986042183193,25.9,17.43235,12.345912548402415,10.7,11.3465,11.464061652087956,38.0,0.0,14.487550439451812,5.0,4.43545,10.078295957879522,23.3,20.114250000000002,19.0227836204976,45.9,46.8301,37.163716344680736,8.4,8.4583,9.322423761038559,47.8,26.303250000000002,30.234887873638566,21.5,0.0,22.42420850628194
