Unnamed: 0,América,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Atlético,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Athletico,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Bahia,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Botafogo,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Corinthians,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Coritiba,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Cruzeiro,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Cuiabá,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Flamengo,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Fluminense,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Fortaleza,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Grêmio,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Goiás,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Internacional,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Palmeiras,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Santos,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,São Paulo,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Vasco da Gama,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Atlético GO,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Criciúma,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Juventude,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110
Rubricas,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0,2023.0,2022.0,2021.0,2020.0,2019.0
Receita c/ Transmissão + Premiações,73.0,105.21300000000001,78.24133800000001,31.005738227100004,13.101784745243378,98.0,159.88250000000002,303.18518475,76.32181717440001,152.43422636292777,117.0,133.0635,205.38351225000002,89.43962950125001,201.56591915759043,,22.693,134.748971,64.39653324090001,102.04274657353017,,0.0,54.33426250000001,88.96261814391,127.23848646822897,319.0,328.01700000000005,289.05827650000003,190.80454293600002,238.0997420049037,51.0,50.5435,60.85437400000001,44.123550553950004,18.896804921024103,,29.913500000000003,47.81415100000001,47.701135734000005,128.4982734629639,75.0,90.772,43.46741000000001,0.0,0.0,425.0,518.0,403.0,325.0,420.0,276.5,155.75650000000002,192.34328925000003,104.94249861480002,136.05699543137354,,121.71700000000001,118.44869225000002,36.96838019385,57.95020175780725,193.0,72.20500000000001,207.55688275000003,174.1091454291,207.86485413126513,56.1,76.53730000000002,32.38322045,40.5459653739,86.92530263671088,150.0,159.88250000000002,187.99654825000002,120.44536772835002,195.26698418391575,263.0,271.28450000000004,544.4293102500001,218.23269598305004,274.633564852217,97.0,108.3075,151.04924975000003,87.05457271455,138.57656942084344,259.0,211.4575,264.06451575000006,152.047370152125,172.5908182786868,119.0,33.008,74.98128225,116.86778254830001,149.9146523734579,,72.20500000000001,108.66852500000002,46.50860734065001,12.597869947349402,,11.3465,8.367476425000001,2.86206814404,13.605699543137355,,51.575,60.85437400000001,17.887925900250004,10.078295957879522
Publicidade e patrocínio,33.0,18.154400000000003,15.213593500000002,2.14655110803,7.18078586998916,47.0,71.1735,54.33426250000001,25.043096260350005,27.715313884168687,39.0,72.20500000000001,24.993760750000003,14.310340720200003,21.416378910493986,,18.567,19.560334500000003,11.925283933500001,20.156591915759044,,0.0,9.128156100000002,7.155170360100001,11.338082952614462,117.0,96.96100000000001,136.92234150000002,84.66951592785001,91.96445061565063,14.0,16.504,6.5201115000000005,6.797411842095001,5.039147978939761,,29.913500000000003,41.294039500000004,39.35343698055001,32.754461863108446,6.3,5.67325,9.562830200000002,9.540227146800001,30.234887873638566,183.0,154.72500000000002,173.86964000000003,113.29019736825002,99.52317258406028,50.0,34.039500000000004,21.733705000000004,11.686778254830003,11.338082952614462,,22.693,9.780167250000002,7.155170360100001,9.448402460512051,74.0,45.386,48.900836250000005,39.35343698055001,46.61211880519279,23.35,13.409500000000001,5.433426250000001,5.366377770075001,7.558721968409642,65.0,48.480500000000006,42.380724750000006,38.160908587200005,59.209988752542195,121.0,140.28400000000002,191.25660400000004,137.14076523525003,142.35593040504824,78.0,69.1105,54.33426250000001,28.620681440400006,28.975100878903625,46.0,55.70100000000001,35.86061325000001,19.080454293600003,26.455526889433745,49.0,24.343400000000003,21.733705000000004,19.080454293600003,20.156591915759044,,5.157500000000001,3.4773928000000005,4.412355055395,3.6533822847313266,,2.8882,2.064701975,0.5962641966750001,1.6377230931554223,,13.409500000000001,5.433426250000001,3.816090858720001,2.2676165905228927
Match-Day,3.1,3.61025,4.12940395,0.9540227146800002,0.3779360984204821,47.0,40.228500000000004,46.72746575000001,0.834769875345,21.416378910493986,33.0,24.756,5.650763300000001,2.14655110803,30.234887873638566,,18.567,2.1733705000000003,5.962641966750001,21.416378910493986,,0.0,2.7167131250000005,2.3850567867000003,13.857656942084343,91.0,101.087,16.300278750000004,8.34769875345,78.1067936735663,12.0,27.850500000000004,6.5201115000000005,5.604883448745001,6.550892372621689,,33.008,2.4993760750000003,1.1925283933500002,22.676165905228924,16.6,13.718950000000001,4.238072475000001,0.047701135734000005,1.6377230931554223,169.0,131.00050000000002,34.773928000000005,35.77585180050001,143.6157173997832,39.0,24.756,2.1733705000000003,3.5775851800500007,20.156591915759044,,19.5985,6.5201115000000005,2.3850567867000003,15.117443936819283,2.4,0.0,0.21733705000000003,0.11925283933500003,0.25195739894698804,6.75,5.7764,0.6520111500000001,0.23850567867000005,10.834168154720485,20.0,15.472500000000002,3.0427187000000004,4.29310221606,25.195739894698804,63.0,57.764,13.040223000000001,7.155170360100001,56.69041476307231,26.0,45.386,88.02150525000002,35.77585180050001,30.234887873638566,110.0,66.016,8.693482000000001,7.155170360100001,49.13169279466267,25.0,11.44965,0.6520111500000001,3.2198266620450005,20.156591915759044,,8.252,0.7606796750000001,0.23850567867000005,1.8896804921024104,,1.2378,0.21733705000000003,0.11925283933500003,0.8818508963144581,,1.4441,0.5433426250000001,0.5962641966750001,1.2597869947349403
Sócio-torcedor,0.0,0.0,0.0,0.0,0.0,27.0,29.913500000000003,14.126908250000001,11.925283933500001,12.597869947349402,45.0,39.197,23.907075500000005,28.024417243725004,34.014248857843384,,,,,,,0.0,4.238072475000001,6.67815900276,7.558721968409642,43.0,33.008,14.126908250000001,15.502869113550002,26.455526889433745,27.0,22.693,9.236824625,11.567525415495,12.597869947349402,,30.945000000000004,7.824133800000001,14.310340720200003,17.637017926289165,0.0,0.0,0.0,0.0,0.0,90.0,74.268,41.294039500000004,73.9367603877,78.1067936735663,57.0,22.693,9.780167250000002,13.117812326850002,6.298934973674701,,36.102500000000006,15.213593500000002,13.117812326850002,23.935952899963866,86.0,54.669500000000006,60.85437400000001,84.66951592785001,104.56232056300004,8.0,1.34095,0.9780167250000001,1.073275554015,1.1338082952614463,73.0,,,,,59.0,51.575,20.647019750000002,26.235624653700004,57.95020175780725,,,,,,21.0,18.567,10.866852500000002,8.34769875345,12.597869947349402,32.0,27.850500000000004,23.907075500000005,34.583323407150004,45.35233181045785,,0.72205,0.21733705000000003,0.23850567867000005,0.12597869947349402,,7.8394,1.8473649250000002,2.14655110803,3.779360984204821,,4.43545,2.7167131250000005,1.7887925900250004,4.6612118805192795
Premiações,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,83.5515,81.50139375,34.583323407150004,107.08189455246992,,,,,,,0.0,3.2600557500000003,10.255744182810002,15.117443936819283,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,257.875,157.56936125000001,108.52008379485001,220.46272407861454,155.0,,,,,,37.134,38.033983750000004,0.0,15.117443936819283,0.0,0.0,0.0,0.0,0.0,11.0,7.426800000000001,0.8693482000000001,4.770113573400001,2.5195739894698805,75.0,14.441,64.11442975000001,39.35343698055001,90.7046636209157,80.0,97.9925,280.3647945,34.583323407150004,25.195739894698804,,,,,,0.0,29.913500000000003,52.160892000000004,0.5962641966750001,34.014248857843384,20.0,2.063,7.606796750000001,14.310340720200003,27.715313884168687,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Licenciamento da marca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,80.45700000000001,29.340501750000005,16.6953975069,34.014248857843384,,,,,,,0.0,1.6300278750000001,2.027298268695,2.5195739894698805,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,90.772,45.640780500000005,14.310340720200003,17.637017926289165,1.3,,,,,,,,,,31.0,11.3465,15.213593500000002,26.235624653700004,23.935952899963866,2.5500000000000003,,,,,14.0,13.409500000000001,17.386964000000003,8.34769875345,3.779360984204821,36.0,22.693,15.213593500000002,14.310340720200003,18.896804921024103,1.4,1.8567000000000002,1.7386964000000003,2.14655110803,3.1494674868373504,18.0,16.504,17.386964000000003,16.6953975069,16.377230931554223,8.6,4.126,4.346741000000001,4.770113573400001,3.779360984204821,,0.0,0.0,0.0,0.0,,1.54725,0.43467410000000006,0.0,0.0,,0.9283500000000001,0.7606796750000001,0.834769875345,0.8818508963144581
Receita Recorrente,109.1,126.97765,97.58433545000001,34.10631204981001,20.660506713653017,219.0,301.19800000000004,418.37382125000005,114.12496724359501,214.16378910493987,224.4,349.6785,289.27561355,150.61633608010501,321.24568365740976,,59.827000000000005,156.48267600000003,82.28445914115001,143.6157173997832,,0.0,72.047232075,107.20830256216502,162.51252232080728,587.0,559.0730000000001,456.40780500000005,299.32462673085,434.6265131835544,104.0,117.591,83.131421625,68.09337126028501,43.08471521993496,,138.221,99.431700375,102.55744182810001,201.56591915759043,97.9,110.16420000000001,57.268312675000004,9.587928282534,31.87261096679399,926.0,968.7655,698.578388,562.3131502766499,758.8827015836989,423.8,237.24500000000003,226.03053200000005,133.32467437653003,173.85060527342173,,200.11100000000005,149.96256450000004,59.6264196675,106.45200105510246,386.4,183.607,332.7430235500001,324.4869758305351,383.2272037983688,96.75,97.06415000000003,39.44667457500001,47.22412437666001,106.45200105510246,322.0,237.24500000000003,250.8069557,171.24707728506002,283.45207381536153,542.0,543.6005,784.5867505000003,403.0745969523,550.5269166991689,202.4,224.6607,295.1437139,153.59765706348003,200.93602566022298,454.0,368.24550000000005,336.8724275000001,203.32609106617502,277.1531388416868,234.0,100.77755000000002,125.62081490000003,178.52150048449502,239.35952899963863,,86.33655,113.12393452500002,51.39797375338502,18.26691142365663,,24.85915,12.931554475000002,5.72413628808,19.904634516812056,,71.7924,70.308535675,24.923843421015007,19.14876231997109
Negociação de atletas,62.0,10.315000000000001,2.6080446000000004,5.604883448745001,5.291105377886749,111.0,90.772,107.58183975000001,33.3907950138,133.53742144190366,241.0,104.18150000000001,34.773928000000005,239.69820706335003,167.55167029974706,,21.6615,38.033983750000004,26.235624653700004,56.69041476307231,,0.0,39.12066900000001,50.08619252070001,49.13169279466267,251.0,150.59900000000002,30.427187000000004,225.38786634315002,42.83275782098797,15.2,35.071000000000005,4.346741000000001,51.278720914050005,3.6533822847313266,,16.504,21.733705000000004,27.428153047050003,136.05699543137354,0.0,0.0,0.0,0.0,0.0,303.0,137.1895,302.09849950000006,264.74130332370004,377.9360984204821,16.0,96.96100000000001,119.53537750000002,59.62641966750001,132.27763444716874,,20.630000000000003,2.6080446000000004,13.117812326850002,8.188615465777112,50.0,105.21300000000001,172.78295475000002,143.10340720200003,136.05699543137354,4.5,3.0945,9.236824625,53.66377770075001,1.3857656942084344,77.0,178.4495,95.62830200000002,81.0919307478,171.3310312839519,187.0,179.48100000000002,151.04924975000003,177.68673060915003,136.05699543137354,174.0,151.6305,116.27532175000002,100.17238504140002,272.1139908627471,121.0,236.2135,131.48891525000002,180.07178739585004,132.27763444716874,125.3,27.334750000000003,66.28780025,39.35343698055001,17.637017926289165,,14.441,4.020735425000001,4.412355055395,0.7558721968409642,,1.0315,0.21733705000000003,9.540227146800001,10.078295957879522,,6.704750000000001,3.1513872250000006,11.329019736825002,3.1494674868373504
Receita Operacional Líquida,188.0,148.536,107.58183975000001,54.856306094100006,39.05339683678315,336.0,397.12750000000005,540.0825692500001,156.22121952885,356.5197195099881,513.4,359.99350000000004,278.19142400000004,392.3418414121501,477.45927100454236,,103.15,210.81693850000002,143.10340720200003,219.20293708387962,,146.473,128.22885950000003,180.07178739585004,240.61931599437358,838.0,672.538,486.83499200000006,506.82456717375004,466.1211880519279,160.1,160.91400000000002,86.93482000000002,119.25283933500002,47.87190579992773,,150.59900000000002,130.40223000000003,140.71835041530002,354.00014552051823,158.0,127.906,69.54785600000001,25.043096260350005,26.455526889433745,1316.0,1147.028,1113.8523812500002,767.9882853174001,1151.4453131877353,452.0,339.36350000000004,341.2191685,218.23269598305004,314.94674868373505,,250.6545,170.60958425,91.82468628795002,137.3167824261085,424.0,297.072,507.4820117500001,459.12343143975005,513.9930938518556,90.0,100.05550000000001,51.07420675000001,102.55744182810001,114.64061652087956,374.0,373.403,373.81972600000006,310.05738227100005,491.3169279466267,839.0,815.9165,1009.5305972500001,634.4251052622001,753.3526228514943,424.0,352.773,442.28089675000007,286.20681440400006,503.91479789397613,669.0,606.522,470.5347132500001,385.18667105205003,410.6905602835905,345.0,119.65400000000001,180.38975150000002,194.38212811605,302.34887873638564,,103.15,122.79543325000002,60.818948060850005,25.195739894698804,,27.850500000000004,16.300278750000004,16.6953975069,32.754461863108446,,78.394,73.894597,38.160908587200005,22.676165905228924
